imdb_id,title,url,release_year,duration,certificate,rating,genres,cast,poster
tt0047573,Them!,https://www.imdb.com/title/tt0047573,1954,1h 34m,Approved,7.2(26K),"['Kaiju', 'Monster Horror', 'Horror', 'Sci-Fi']","['Gordon Douglas', 'Ted Sherdeman', 'Russell S. Hughes', 'George Worthing Yates', 'James Whitmore', 'Edmund Gwenn', 'Joan Weldon', 'James Arness', 'Onslow Stevens', 'Sean McClory']",posters_show\Them_.jpg
tt31184028,Together,https://www.imdb.com/title/tt31184028,2025,1h 42m,R,6.7(45K),"['Body Horror', 'Psychological Horror', 'Horror', 'Romance']","['Michael Shanks', 'Dave Franco', 'Alison Brie', 'Damon Herriman', 'Mia Morrissey', 'Karl Richmond', 'Jack Kenny', 'Francesca Waters', 'Aljin Abella', 'Sarah Lang']",posters_show\Together.jpg
tt20768712,Book Club: The Next Chapter,https://www.imdb.com/title/tt20768712,2023,1h 47m,PG-13,5.6(9.5K),"['Romantic Comedy', 'Comedy', 'Romance']","['Bill Holderman', 'Erin Simms', 'Diane Keaton', 'Jane Fonda', 'Candice Bergen', 'Mary Steenburgen', 'Andy Garcia', 'Don Johnson', 'Craig T. Nelson', 'Giancarlo Giannini']",posters_show\Book_Club__The_Next_Chapter.jpg
tt30645201,Honey Don't!,https://www.imdb.com/title/tt30645201,2025,1h 29m,R,5.3(13K),"['Dark Comedy', 'Whodunnit', 'Comedy', 'Crime', 'Mystery', 'Thriller']","['Ethan Coen', 'Tricia Cooke', 'Margaret Qualley', 'Aubrey Plaza', 'Chris Evans', 'Lera Abova', 'Jacnier', 'Gabby Beans', 'Talia Ryder', 'Charlie Day']",posters_show\Honey_Don_t_.jpg
tt31923069,Springsteen: Deliver Me from Nowhere,https://www.imdb.com/title/tt31923069,2025,2h,PG-13,5.5(692),"['Docudrama', 'Biography', 'Drama', 'Music']","['Scott Cooper', 'Warren Zanes', 'Jeremy Allen White', 'Jeremy Strong', 'Paul Walter Hauser', 'Stephen Graham', 'Odessa Young', 'David Krumholtz', 'Gaby Hoffmann', 'Harrison Sloan Gilbertson']",posters_show\Springsteen__Deliver_Me_from_Nowhere.jpg
tt20969586,Thunderbolts*,https://www.imdb.com/title/tt20969586,2025,2h 7m,PG-13,7.1(230K),"['Dark Comedy', 'Dark Fantasy', 'Political Drama', 'Psychological Drama', 'Superhero', 'Action', 'Adventure', 'Crime', 'Drama', 'Fantasy']","['Jake Schreier', 'Eric Pearson', 'Joanna Calo', 'Kurt Busiek', 'Mark Bagley', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Paul Jenkins', 'Jae Lee']",posters_show\Thunderbolts_.jpg
tt0072271,The Texas Chain Saw Massacre,https://www.imdb.com/title/tt0072271,1974,1h 23m,R,7.4(205K),"['B-Horror', 'Body Horror', 'Folk Horror', 'Psychological Horror', 'Slasher Horror', 'Splatter Horror', 'Teen Horror', 'Horror']","['Tobe Hooper', 'Kim Henkel', 'Marilyn Burns', 'Allen Danziger', 'Paul A. Partain', 'William Vail', 'Teri McMinn', 'Edwin Neal', 'Jim Siedow', 'Gunnar Hansen']",posters_show\The_Texas_Chain_Saw_Massacre.jpg
tt31888477,Downton Abbey: The Grand Finale,https://www.imdb.com/title/tt31888477,2025,2h 3m,PG,7.5(8.7K),"['Period Drama', 'Drama']","['Simon Curtis', 'Julian Fellowes', 'Marilyn Cutts', 'Dominic West', 'Lorna Nickson Brown', 'Daisy May', 'Sophie Colquhoun', 'Hugh Bonneville', 'Elizabeth McGovern', 'Laura Carmichael']",posters_show\Downton_Abbey__The_Grand_Finale.jpg
tt27158093,Arthur's Whisky,https://www.imdb.com/title/tt27158093,2024,1h 34m,,4.8(1.2K),['Comedy'],"['Stephen Cookson', 'Julia Stuart', 'Alexis Zegerman', 'Andy Davie', 'Ossian Perret', 'Patricia Hodge', 'David Bromley', 'Nigel Pegram', 'Joanna David', 'Diane Keaton']",posters_show\Arthur_s_Whisky.jpg
tt12908150,The Life of Chuck,https://www.imdb.com/title/tt12908150,2024,1h 51m,R,7.3(37K),"['Drama', 'Fantasy', 'Sci-Fi']","['Mike Flanagan', 'Stephen King', 'Tom Hiddleston', 'Jacob Tremblay', 'Benjamin Pajak', 'Cody Flanagan', 'Chiwetel Ejiofor', 'Karen Gillan', 'Mia Sara', 'Carl Lumbly']",posters_show\The_Life_of_Chuck.jpg
tt1375666,Inception,https://www.imdb.com/title/tt1375666,2010,2h 28m,PG-13,8.8(2.7M),"['Action Epic', 'Adventure Epic', 'Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Christopher Nolan', 'Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Tom Hardy', 'Ken Watanabe', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard']",posters_show\Inception.jpg
tt9362736,Die My Love,https://www.imdb.com/title/tt9362736,2025,1h 58m,R,6.4(1.1K),"['Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Comedy', 'Drama', 'Thriller']","['Lynne Ramsay', 'Enda Walsh', 'Alice Birch', 'Ariana Harwicz', 'Jennifer Lawrence', 'Robert Pattinson', 'Sissy Spacek', 'Nick Nolte', 'LaKeith Stanfield', 'Kennedy Calderwood']",posters_show\Die_My_Love.jpg
tt0816692,Interstellar,https://www.imdb.com/title/tt0816692,2014,2h 49m,PG-13,8.7(2.4M),"['Adventure Epic', 'Epic', 'Psychological Drama', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Drama', 'Sci-Fi']","['Christopher Nolan', 'Jonathan Nolan', 'Ellen Burstyn', 'Matthew McConaughey', 'Mackenzie Foy', 'John Lithgow', 'Timothée Chalamet', 'David Oyelowo', 'Collette Wolfe', 'Francis X. McCarthy']",posters_show\Interstellar.jpg
tt1790864,The Maze Runner,https://www.imdb.com/title/tt1790864,2014,1h 53m,PG-13,6.8(547K),"['Dystopian Sci-Fi', 'Survival', 'Suspense Mystery', 'Action', 'Mystery', 'Sci-Fi', 'Thriller']","['Wes Ball', 'Noah Oppenheim', 'Grant Pierce Myers', 'T.S. Nowlin', 'James Dashner', ""Dylan O'Brien"", 'Aml Ameen', 'Ki Hong Lee', 'Blake Cooper', 'Thomas Brodie-Sangster']",posters_show\The_Maze_Runner.jpg
tt13160412,Father of the Bride Part 3 (ish),https://www.imdb.com/title/tt13160412,2020,26m,Not Rated,6.7(2.1K),"['Family', 'Short']","['Nancy Meyers', 'Diane Keaton', 'Kieran Culkin', 'Kimberly Williams-Paisley', 'Florence Pugh', 'Ben Platt', 'Steve Martin', 'George Newbern', 'Alexandra Shipp', 'Robert De Niro']",posters_show\Father_of_the_Bride_Part_3__ish_.jpg
tt21187592,The Threesome,https://www.imdb.com/title/tt21187592,2025,1h 52m,R,6.2(2K),"['Comedy', 'Drama', 'Romance']","['Chad Hartigan', 'Ethan Ogilby', 'Jeremy Turner', 'Tommy Do', 'Jaboukie Young-White', 'Jonah Hauer-King', 'Zoey Deutch', 'Josh Segarra', 'Ruby Cruz', 'Kristin Slaysman']",posters_show\The_Threesome.jpg
tt26783625,Bone Lake,https://www.imdb.com/title/tt26783625,2024,1h 34m,R,6.2(1.3K),"['Erotic Thriller', 'Psychological Horror', 'Psychological Thriller', 'Splatter Horror', 'Horror', 'Thriller']","['Mercedes Bryce Morgan', 'Joshua Friedlander', 'Alex Roe', 'Maddie Hasson', 'Marco Pigossi', 'Andra Nechita', 'Clayton Spencer', 'Eliane Reis', 'Jason Blumenfeld', 'Mehrdod Heydari']",posters_show\Bone_Lake.jpg
tt30253473,Materialists,https://www.imdb.com/title/tt30253473,2025,1h 56m,R,6.3(62K),"['Feel-Good Romance', 'Romantic Comedy', 'Comedy', 'Romance']","['Celine Song', 'Dakota Johnson', 'Chris Evans', 'Pedro Pascal', 'Zoe Winters', 'Marin Ireland', 'Dasha Nekrasova', 'Emmy Wheeler', 'Louisa Jacobson', 'Eddie Cahill']",posters_show\Materialists.jpg
tt33088452,Regretting You,https://www.imdb.com/title/tt33088452,2025,1h 57m,PG-13,,"['Drama', 'Romance']","['Josh Boone', 'Colleen Hoover', 'Susan McMartin', 'Allison Williams', 'Mckenna Grace', 'Dave Franco', 'Mason Thames', 'Scott Eastwood', 'Willa Fitzgerald', 'Clancy Brown']",posters_show\Regretting_You.jpg
tt31036941,Jurassic World: Rebirth,https://www.imdb.com/title/tt31036941,2025,2h 13m,PG-13,5.9(141K),"['Dinosaur Adventure', 'Jungle Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Gareth Edwards', 'David Koepp', 'Michael Crichton', 'Scarlett Johansson', 'Mahershala Ali', 'Jonathan Bailey', 'Rupert Friend', 'Manuel Garcia-Rulfo', 'Luna Blaise', 'David Iacono']",posters_show\Jurassic_World__Rebirth.jpg
tt28015403,Heretic,https://www.imdb.com/title/tt28015403,2024,1h 51m,R,7.0(196K),"['Psychological Horror', 'Psychological Thriller', 'Horror', 'Thriller']","['Scott Beck', 'Bryan Woods', 'Hugh Grant', 'Sophie Thatcher', 'Chloe East', 'Topher Grace', 'Elle Young', 'Julie Lynn Mortensen', 'Haylie Hansen', 'Elle McKinnon']",posters_show\Heretic.jpg
tt30988739,Black Bag,https://www.imdb.com/title/tt30988739,2025,1h 33m,R,6.7(73K),"['Psychological Thriller', 'Spy', 'Drama', 'Mystery', 'Romance', 'Thriller']","['Steven Soderbergh', 'David Koepp', 'Michael Fassbender', 'Gustaf Skarsgård', 'Cate Blanchett', 'Tom Burke', 'Marisa Abela', 'Regé-Jean Page', 'Naomie Harris', 'Kae Alexander']",posters_show\Black_Bag.jpg
tt26394837,Code 3,https://www.imdb.com/title/tt26394837,2025,1h 44m,R,7.2(5K),"['Action', 'Comedy']","['Christopher Leone', 'Patrick Pianezza', 'Rainn Wilson', 'Lil Rel Howery', 'Aimee Carrero', 'Rob Riggle', 'Yvette Nicole Brown', 'Page Kennedy', 'Xolo Maridueña', ""Tree O'Toole""]",posters_show\Code_3.jpg
tt0102926,The Silence of the Lambs,https://www.imdb.com/title/tt0102926,1991,1h 58m,R,8.6(1.7M),"['Police Procedural', 'Psychological Drama', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Horror', 'Thriller']","['Jonathan Demme', 'Thomas Harris', 'Ted Tally', 'Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine', 'Anthony Heald', 'Brooke Smith', 'Diane Baker']",posters_show\The_Silence_of_the_Lambs.jpg
tt33549447,Anemone,https://www.imdb.com/title/tt33549447,2025,2h 5m,R,5.9(1.9K),['Drama'],"['Ronan Day-Lewis', 'Daniel Day-Lewis', 'Sean Bean', 'Samuel Bottomley', 'Lewis Ian Bray', 'Paul Butterworth', 'Karl Cam', 'JP Conway', 'Angus Cooper', 'Adam Fogerty']",posters_show\Anemone.jpg
tt5040012,Nosferatu,https://www.imdb.com/title/tt5040012,2024,2h 12m,R,7.2(240K),"['Dark Fantasy', 'Folk Horror', 'Supernatural Horror', 'Vampire Horror', 'Fantasy', 'Horror', 'Mystery']","['Robert Eggers', 'Henrik Galeen', 'Bram Stoker', 'Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson']",posters_show\Nosferatu.jpg
tt1457767,The Conjuring,https://www.imdb.com/title/tt1457767,2013,1h 52m,R,7.5(604K),"['Supernatural Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']","['James Wan', 'Chad Hayes', 'Carey W. Hayes', 'Vera Farmiga', 'Patrick Wilson', 'Lili Taylor', 'Ron Livingston', 'Shanley Caswell', 'Hayley McFarland', 'Joey King']",posters_show\The_Conjuring.jpg
tt29567915,Nuremberg,https://www.imdb.com/title/tt29567915,2025,2h 28m,PG-13,7.7(362),"['Legal Drama', 'Legal Thriller', 'Psychological Drama', 'Biography', 'Drama', 'History', 'Thriller', 'War']","['James Vanderbilt', 'Jack El-Hai', 'Carl Achleitner', 'Russell Crowe', 'Rami Malek', 'Colin Hanks', 'Michael Shannon', 'Leo Woodall', 'Richard E. Grant', 'John Slattery']",posters_show\Nuremberg.jpg
tt0468569,The Dark Knight,https://www.imdb.com/title/tt0468569,2008,2h 32m,PG-13,9.1(3.1M),"['Action Epic', 'Epic', 'Psychological Thriller', 'Superhero', 'Tragedy', 'Action', 'Crime', 'Drama', 'Thriller']","['Christopher Nolan', 'Jonathan Nolan', 'David S. Goyer', 'Bob Kane', 'Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman']",posters_show\The_Dark_Knight.jpg
tt15327088,Kantara,https://www.imdb.com/title/tt15327088,2022,2h 28m,,8.2(112K),"['Kannada', 'Action Epic', 'Epic', 'One-Person Army Action', 'Action', 'Adventure', 'Drama', 'Thriller']","['Rishab Shetty', 'Manish Bhavan', 'Shanil Guru', 'Anirudh Mahesh', 'Bhawan Manish', 'Sham Prasad', 'Raj B. Shetty', 'Prakash Thuminad', 'Kishore Kumar G.', 'Achyuth Kumar']",posters_show\Kantara.jpg
tt18312380,Primitive War,https://www.imdb.com/title/tt18312380,2025,2h 13m,,5.4(4.5K),"['Dinosaur Adventure', 'Jungle Adventure', 'Monster Horror', 'Action', 'Horror', 'Sci-Fi', 'War']","['Luke Sparke', 'Ethan Pettus', 'Ryan Kwanten', 'Tricia Helfer', 'Nick Wechsler', 'Jeremy Piven', 'Anthony Ingruber', 'Aaron Glenane', 'Carlos Sanson Jr.', 'Albert Mwangi']",posters_show\Primitive_War.jpg
